,affiliation_locations,affiliation_names,first_name,last_name
266,"['Islamabad, Pakistan']",['Quaid-i-Azam University'],Muhammad,Karim
267,"['Orlando, FL, USA']",['Digital Domain Mastering'],Bob,Katz
268,"['Washington DC, USA']",['Kean Consulting LLC'],John,Kean
269,"['York, UK']",['University of York'],Gavin,Kearney
270,['None'],['Don)'],Jr.,Keele
271,"['Seattle, WA, USA']",['Microsoft'],Sally,Kellaway
272,"['Aachen, Germany']",['RWTH Aachen University'],Maximillian,Kentgens
273,"['Hamburg, Germany']","['HAW Hamburg,']",Philipp,Kessling
274,"['Northridge, CA, USA']",['Harman International'],Omid,Khonsaripour
275,"['New York, NY, USA']",['John Kilgore Sound & Recording'],John,Kilgore
276,"['Buena Park, CA, USA']",['Yamaha Professional Audio'],Patrick,Killianey
277,"['Guildford, Surrey, UK']",['University of Surrey'],Chungeun,Kim
278,['None'],['Gwangju Institute of Science and Tech'],Hong,Kim
279,"['New York, NY, USA']",['New York University'],Sungsoo,Kim
280,"['Montreal, Quebec, Canada', 'Montreal, Quebec, Canada']","['McGill University', 'The Centre for Interdisciplinary Research in Music Media and Technology']",Richard,King
281,['None'],['None'],Eliot,Kissileff
282,"['Amsterdam, Netherlands', 'Alkmaar, Netherlands.']","['Phantom Sound B.V.', 'TritonAudio.']",Joost,Kist
283,"['Tokyo, Japan']",['NHK Science & Technology Research Laboratories'],Shu,Kitajima
284,"['Richmond, CA, USA']",['Menlo Scientific Ltd.'],Michael,Klasco
285,"['Dresden, Germany']",['Klippel GmbH'],Wolfgang,Klippel
286,"['Stuttgart, Germany']",['Stuttgart Media University'],Andreas,Koch
287,"['New York, NY, USA']","['Dolby Laboratories, Inc.']",Thomas,Kodros
288,"['Berkeley, CA, USA']",['Meyer Sound Laboratories'],Paul,Kohut
289,"['Setagaya-ku, Tokyo, Japan', 'Shinjuku-ku, Tokyo, Japan']","['NHK Science and Technology Research Laboratories', 'Waseda University']",Tomoyasu,Komori
290,['None'],['None'],Danny,Kortchmar
291,"['Vilnius, Lithuania']",['Vilnius University'],Grazina,Korvel
292,"['Phoenix, AZ, USA']",['Central Sound at Arizona PBS'],Alex,Kosiorek
293,"['Gdansk, Poland', 'None']","['Gdansk University of Technology', 'Audio Acoustics Lab.']",Bozena,Kostek
294,"['Athens, Greece']",['National and Kapodistrian University of Athens'],George,Kosteletos
295,"['Le Grand-Saconnex, Genéve, Switzerland']",['European Broadcasting Union'],Ievgen,Kostiukevych
296,"['Kraków, Poland']",['AGH University of Science and Technology'],Konrad,Kowalczyk
297,['None'],['Netflix'],Scott,Kramer
298,['None'],['IATSE'],Matt,Kraus
299,"['Kraków, Poland']",['AGH University of Science and Technology'],Daniel,Krause
300,"['Hanover, MA, USA', 'Boston, MA, USA']","['Professional Audio Design', 'Emerson College']",John,Krivit
301,"['Tokyo, Japan']",['NHK'],Hiroki,Kubo
302,"['Valencia, CA, USA']",['Samsung Research America'],Glenn,Kubota
303,"['Aachen, Germany']",['RWTH Aachen University'],Stefan,Kühl
304,"['Köthen, Germany']",['Anhalt University of Applied Sciences'],Christoph,Kuhr
305,"['Gdansk, Poland']",['Gdansk University of Technology'],Adam,Kurowski
306,"['West Hartford, CT, USA']","['The Hartt School, University of Hartford']",Justin,Kurtz
307,"['Munich, Germany']",['HUAWEI Technologies Duesseldorf GmbH'],Yesenia,Lacouture Parodi
308,"['Andover, MA, USA']",['Clockworks Signal Processing LLC'],Brewster,LaMacchia
309,"['Richardson, TX, USA']",['Harman International'],Russ,Lambert
310,"['Towson, MD, USA']",['Towson University'],Elsa,Lankford
311,['Scandicci'],['Powersoft S.p.a.'],Claudio,Lastrucci
312,"['Washington, DC, USA']",['National Association of Broadcasters'],David,Layer
313,['None'],['Gwangju Institute of Science and Technology'],Geon,Lee
314,"['Huddersfield, UK']",['University of Huddersfield'],Hyunkook,Lee
315,"['Rochester, NY, USA']",['University of Rochester'],Ming-Lun,Lee
316,"['Luleå, Sweden']",['Luleå University of Technology'],Nyssim,Lefford
317,"['Medford, MA, USA']",['Tufts University'],Paul,Lehrman
318,"['Boston, MA, USA']",['American Tower'],Jim,Leifer
319,['None'],['RafterMarsh'],Phillipp,Lengeling
320,"['Victoria, BC, Canada']",['Freelance Music Producer / Audio Educator'],Theresa,Leonard
321,"['Irvine, CA USA']",['PD Squared'],Scott,Leslie
322,"['New York / Havana', 'New York/Havana']","['Music Has No Enemies', 'Habanico']",Andres,Levin
323,"['Camarillo, CA, USA']",['Rat Sound Systems'],Dave,Levine
324,"['Hannover, Germany']",['Leibniz Universität Hannover'],Song,Li
325,"['Beijing, China', 'Shanghai, China']","['Chinese Academy of Sciences', 'Chinese Academy of Sciences']",Xiaodong,Li
326,"['Valencia, CA, USA']",['Samsung Research America'],Yuan,Li
327,"['Beijing, China']",['Beijing Institute of Technology'],Zhitong,Li
328,"['Beijing, China']",['Beijing Institute of Technology'],Zhuoran,Li
329,"['Beijing, China']","['Institute of Acoustics, Chinese Academy of Sciences']",Ziqing,Li
330,"['Tokyo, Japan']",['Sony Corporation'],Wei-Hsiang,Liao
331,"['Santa Clara, CA, USA']",['Goertek Electronics Inc.'],Richard,Little
332,"['Nanjing, China']",['Nanjing University'],Ziyun,Liu
333,['Alcala de Henares'],['University of Alcalá'],Sr.,Llerena-Aguilar
334,"['Seattle, WA, USA']",['Glenn Sound Inc'],Glenn,Lorbecki
335,"['Portland, ME, USA']","['Gateway Mastering Studios, Inc.']",Bob,Ludwig
336,"['Erlangen, Germany']",['International Audio Laboratories Erlangen'],Maria,Luis Valero
337,"['Cambridge, MA, USA']","['iZotope, Inc.']",Alexey,Lukin
338,"['Iisalmi, Finland']",['Genelec Oy'],Thomas,Lund
339,"['Beijing, China']","['Institute of Acoustics, Chinese Academy of Sciences']",Pingzhan,Luo
340,['None'],['None'],Gavin,Lurssen
341,"['Chicago, IL, USA']",['Chicago Mastering Service'],Margaret,Luthar
342,['None'],['NTP'],Jan,Lykke
343,"['New York, NY, USA']",['Durst Broadcasting LLC'],John,Lyons
344,"['Tigard, OR, USA']",['NTi Audio Inc.'],Brian,MacMillan
345,"['Bozeman, MT, USA']",['Montana State University'],Robert,Maher
346,"['Vienna, Austria']",['Austrian Academy of Sciences'],Piotr,Majdak
347,"['Krakow, Poland']",['AGH University of Science and Technology'],Pawel,Malecki
348,"['South Brisbane, Queensland, Australia']",['JLM Audio'],Joe,Malone
349,"['Paris, France']",['CNRS-Musé de la Musique'],Thierry,Maniguet
350,"['Ilmenau, Germany']",['Fraunhofer Institute for Digital Media Technology IDMT'],Andreas,Männchen
351,"['Colchester, Essex, UK']",['Peter Mapp Associates'],Peter,Mapp
352,"['Nashville, TN, USA']",['Mara Machines'],Chris,Mara
353,['None'],['Source Elements'],Robert,Marshall
354,['Parma'],['Contralto Audio srl'],Paolo,Martignon
355,"['Beaverton, OR, USA']",['Audio Precision'],Mark,Martin
356,"['Guildford, Surrey, UK']",['University of Surrey'],Russell,Mason
357,"['Montreal, Quebec, Canada', 'None']","['Schulich School of Music, McGill University', 'Centre for Interdisciplinary Research in Music Media and Technology']",George,Massenburg
358,"['Setagaya, Tokyo, Japan']",['NHK Science & Technology Research Laboratories'],Kentaro,Matsui
359,"['Tokyo-to, Japan']",['SONA Co.'],Akiho,Matsuo
360,"['Vancouver, WA, USA']","['HP, Inc.']",Timothy,Mauer
361,"['New York, NY, USA']",['Arup'],Alexander,Mayo
